-,楽曲名,MS披露期待ポイント,Day1,Day2,キャスト
1,...In The Name Of。 ...LOVE?,7.0,○,○,阿部里果
2,ABSOLUTE RUN!!!,2.0,×,○,山崎はるか、田所あずさ、Machico
3,Angelic Parade♪,4.0,△,○,Machico、角元明日香、麻倉もも、小笠原早紀、夏川椎菜、田村奈央、髙橋ミナミ、稲川英里、末柄里恵、桐谷蝶々、近藤唯、平山笑美、香里有佐
4,Arrive You 〜それが運命でも〜,2.0,○,○,原嶋あかり、稲川英里、渡部恵子
5,Bigバルーン◎,4.875,×,○,小笠原早紀、髙橋ミナミ、斉藤佑圭
6,Birth of Color,3.0,×,○,戸田めぐみ、木戸衣吹
7,Blue Symphony,3.75,×,○,種田梨沙、藤井ゆきよ、雨宮天
8,Bonnes! Bonnes!! Vacances!!!,6.0,○,○,Machico、大関英里、浜崎奈々
9,BORN ON DREAM! 〜HANABI☆NIGHT〜,4.0,×,○,大関英里、駒形友梨、上田麗奈、渡部優衣、浜崎奈々
10,brave HARMONY,3.0,△,○,田所あずさ、藤井ゆきよ、伊藤美来、駒形友梨、小岩井ことり、戸田めぐみ、野村香菜子、阿部里果、近藤唯、斉藤佑圭、平山笑美、愛美、南早紀
11,catch my feeling,5.0,×,○,中村温姫、村川梨衣、渡部優衣、野村香菜子、髙橋ミナミ、渡部恵子
12,CHEER UP! HEARTS UP!,6.0,○,○,夏川椎菜、木戸衣吹、愛美
13,Cherry Colored Love,2.0,×,○,髙橋ミナミ、山口立花子
14,Clover Days,10.0,×,○,麻倉もも、上田麗奈、雨宮天、木戸衣吹
15,Clover's Cry 〜神と神降ろしの少女〜,6.4,×,○,田村奈央、渡部優衣、髙橋ミナミ、稲川英里
16,Come on a Tea Party!,5.0,○,○,麻倉もも
17,Contrastet,1.0,○,○,香里有佐
18,Criminally Dinner 〜正餐とイーヴルナイフ〜,6.4,×,○,田所あずさ、原嶋あかり、戸田めぐみ、近藤唯
19,Cut. Cut. Cut.,7.0,○,○,阿部里果、渡部恵子
20,Dance in the Light,8.0,×,○,駒形友梨、戸田めぐみ、山口立花子、斉藤佑圭
21,dans l'obscurité,6.0,○,○,夏川椎菜、中村温姫、伊藤美来、阿部里果、斉藤佑圭
22,dear...,6.0,×,○,髙橋ミナミ
23,Decided,7.0,×,○,諏訪彩花、髙橋ミナミ
24,DIAMOND JOKER,4.875,×,○,Machico、藤井ゆきよ、諏訪彩花
25,Do the IDOL!! 〜断崖絶壁チュパカブラ〜,6.5,○,○,Machico、伊藤美来、小岩井ことり、郁原ゆう、斉藤佑圭
26,Dreamscape,0.0,○,○,浜崎奈々、斉藤佑圭
27,Dual Style Idol,10.0,×,○,戸田めぐみ
28,ENTER→PLEASURE,5.0,○,○,夏川椎菜
29,Episode. Tiara,4.0,×,○,山崎はるか、種田梨沙、木戸衣吹
30,ESPADA,4.230769230769231,△,○,田所あずさ、小笠原早紀、原嶋あかり、郁原ゆう、雨宮天、戸田めぐみ、末柄里恵、近藤唯、斉藤佑圭、南早紀
31,Eternal Harmony,4.0,×,○,諏訪彩花、郁原ゆう、末柄里恵、愛美
32,Everlasting,4.0,○,○,藤井ゆきよ、小岩井ことり、野村香菜子、山口立花子
33,FairyTaleじゃいられない,4.0,△,○,田所あずさ、藤井ゆきよ、中村温姫、小岩井ことり、雨宮天、戸田めぐみ、野村香菜子、阿部里果、山口立花子、斉藤佑圭、渡部恵子、愛美、南早紀
34,FIND YOUR WIND!,4.0,○,○,平山笑美
35,fruity love,0.0,○,○,小笠原早紀、中村温姫
36,Fu-Wa-Du-Wa,4.25,×,○,角元明日香、戸田めぐみ
37,Get lol! Get lol! SONG,4.0,○,○,麻倉もも、夏川椎菜、田村奈央、稲川英里
38,Girl meets Wonder,6.4,×,○,諏訪彩花、麻倉もも、斉藤佑圭、渡部恵子
39,"Good-Sleep, Baby♡",0.0,○,○,原嶋あかり、木戸衣吹、稲川英里
40,Growing Storm!,3.0,○,○,山崎はるか、Machico、夏川椎菜、伊藤美来、阿部里果
41,Hang In There!,2.0,○,○,大関英里、渡部優衣
42,"HELLO, YOUR ANGEL♪",0.0,○,○,原嶋あかり、小岩井ことり
43,Helloコンチェルト,2.25,×,○,大関英里、村川梨衣、田村奈央
44,Home is a coming now!,5.0,○,○,渡部優衣
45,"HOME, SWEET FRIENDSHIP",4.0,×,○,村川梨衣、渡部優衣、浜崎奈々、渡部恵子
46,I did＋I will,4.0,×,○,中村温姫、戸田めぐみ、斉藤佑圭、渡部恵子
47,I.D 〜EScape from Utopia〜,4.0,○,○,雨宮天、阿部里果、南早紀
48,Justice OR Voice,3.2,○,○,小笠原早紀、愛美、南早紀、香里有佐
49,KING of SPADE,4.5,○,○,小笠原早紀、末柄里恵、南早紀
50,Legend Girls!!,5.2,×,○,田所あずさ、麻倉もも、伊藤美来、小岩井ことり
51,Like twinkling STARS,8.333333333333334,△,○,山崎はるか、田所あずさ、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
52,LOVE is GAME,4.5,○,○,大関英里、伊藤美来、小岩井ことり
53,Marionetteは眠らない,4.875,○,○,Machico、平山笑美、愛美
54,Melody in scape,0.0,○,○,大関英里、駒形友梨
55,My Evolution,6.0,×,○,角元明日香、上田麗奈、戸田めぐみ、浜崎奈々
56,NO CURRY NO LIFE,3.0,○,○,夏川椎菜、木戸衣吹、山口立花子
57,P.S I Love You,5.0,○,○,小岩井ことり、野村香菜子、近藤唯
58,Parade d’amour,2.0,×,○,種田梨沙、諏訪彩花、雨宮天、香里有佐
59,Paradox of LOVE,2.0,○,○,駒形友梨、野村香菜子、末柄里恵、愛美
60,piece of cake,7.0,○,○,雨宮天、平山笑美
61,Precious Grain,6.0,×,○,田所あずさ
62,PRETTY DREAMER,0.0,○,○,山崎はるか、夏川椎菜、渡部優衣、末柄里恵
63,Princess Be Ambitious!!,4.0,△,○,山崎はるか、種田梨沙、大関英里、諏訪彩花、伊藤美来、駒形友梨、村川梨衣、上田麗奈、原嶋あかり、郁原ゆう、木戸衣吹、渡部優衣、浜崎奈々
64,Raise the FLAG,4.0,×,○,藤井ゆきよ、戸田めぐみ、阿部里果
65,RED ZONE,4.0,×,○,髙橋ミナミ、末柄里恵、平山笑美、香里有佐
66,REFRAIN REL@TION,0.0,×,○,山崎はるか、田所あずさ、Machico、南早紀、香里有佐
67,ReTale,2.0,×,○,藤井ゆきよ、村川梨衣、木戸衣吹
68,Sentimental Venus,3.75,○,○,郁原ゆう、阿部里果、山口立花子
69,Shamrock Vivace,4.230769230769231,△,○,角元明日香、麻倉もも、中村温姫、上田麗奈、田村奈央、渡部優衣、野村香菜子、髙橋ミナミ、稲川英里、阿部里果
70,Shooting Stars,5.0,×,○,田所あずさ、麻倉もも、小笠原早紀、雨宮天、平山笑美
71,Sing a Wing Song,10.0,×,○,種田梨沙
72,Smiling Crescent,0.0,○,○,麻倉もも、桐谷蝶々
73,Special Wonderful Smile,6.0,○,○,麻倉もも、田村奈央、桐谷蝶々、近藤唯
74,STANDING ALIVE,4.0,○,○,角元明日香、中村温姫、近藤唯、山口立花子
75,Star Impression,5.0,○,○,大関英里、夏川椎菜、小岩井ことり、雨宮天
76,Starry Melody,6.0,△,○,山崎はるか、諏訪彩花、麻倉もも、小笠原早紀、村川梨衣、上田麗奈、雨宮天、髙橋ミナミ、稲川英里、末柄里恵、桐谷蝶々、渡部恵子
77,STEREOPHONIC ISOTONIC,4.0,○,○,中村温姫
78,SUPER SIZE LOVE!!,3.0,○,○,大関英里
79,Supersonic Booster!,6.923076923076923,△,○,角元明日香、夏川椎菜、伊藤美来、上田麗奈、田村奈央、髙橋ミナミ、阿部里果、平山笑美、愛美
80,Sweet Sweet Soul,4.0,○,○,麻倉もも、小笠原早紀、稲川英里
81,Tomorrow Program,4.0,×,○,伊藤美来、村川梨衣、原嶋あかり
82,Understand? Understand!,4.0,×,○,種田梨沙、上田麗奈
83,Unknown Boxの開き方,10.0,×,○,角元明日香、諏訪彩花、郁原ゆう、田村奈央、斉藤佑圭
84,Vacation VS Summer 〜ナツとヤスミのアンビバレント！〜,8.0,×,○,諏訪彩花、稲川英里、浜崎奈々、南早紀
85,vivid color,6.0,○,○,駒形友梨
86,VOY@GER,3.75,×,○,夏川椎菜、上田麗奈、南早紀
87,White Vows,4.0,×,○,野村香菜子、髙橋ミナミ、末柄里恵、山口立花子、香里有佐
88,WHY?,6.0,○,○,山口立花子
89,あのね、聞いてほしいことがあるんだ,7.0,○,○,田村奈央
90,おまじない,6.0,○,○,木戸衣吹
91,たんけんぼうけん☆ハイホー隊,5.0,○,○,稲川英里
92,だってあなたはプリンセス,4.0,×,○,諏訪彩花、郁原ゆう
93,はぴ！やば！まいまいんど！,6.0,○,○,夏川椎菜、田村奈央、愛美
94,わたしは花、あなたは太陽,10.0,×,○,伊藤美来、髙橋ミナミ、渡部恵子
95,アイドルは、かく語りき,10.0,×,○,村川梨衣
96,アイル,0.0,○,○,Machico、阿部里果、愛美
97,アニマル☆ステイション！,3.0,○,○,原嶋あかり
98,インヴィンシブル・ジャスティス,3.0,×,○,Machico、上田麗奈
99,エスケープ,7.0,○,○,藤井ゆきよ、愛美
100,エンダーエンダー,10.0,×,○,Machico、麻倉もも、中村温姫、戸田めぐみ、平山笑美
101,オレンジの空の下,3.0,○,○,末柄里恵
102,オレンジノキオク,10.0,×,○,種田梨沙、藤井ゆきよ、伊藤美来、稲川英里、末柄里恵
103,オレンジ・エピソード,7.6923076923076925,△,○,大関英里、駒形友梨、村川梨衣、小岩井ことり、雨宮天、戸田めぐみ、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
104,オーディナリィ・クローバー,4.0,×,○,田所あずさ、夏川椎菜、桐谷蝶々、山口立花子、香里有佐
105,カワラナイモノ,4.875,○,○,駒形友梨、浜崎奈々、近藤唯
106,カンパリーナ♡,6.0,○,○,野村香菜子、末柄里恵、平山笑美
107,カーテシーフラワー,4.666666666666667,×,○,上田麗奈、原嶋あかり
108,クルリウタ,8.25,○,○,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
109,ゲキテキ！ムテキ！恋したい！,6.0,○,○,角元明日香、中村温姫、原嶋あかり
110,ココロがかえる場所,0.0,○,○,中村温姫、野村香菜子、渡部恵子
111,サウンド・オブ・ビギニング,7.6923076923076925,△,○,Machico、種田梨沙、諏訪彩花、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
112,サンリズム・オーケストラ♪,3.0,○,○,Machico、角元明日香、大関英里、夏川椎菜、中村温姫、原嶋あかり、郁原ゆう、田村奈央、木戸衣吹、渡部優衣、浜崎奈々、山口立花子、香里有佐
113,ショコラブル＊イブ,6.0,○,○,山崎はるか、藤井ゆきよ、小笠原早紀、夏川椎菜、駒形友梨
114,シークレットジュエル 〜魅惑の金剛石〜,5.2,○,○,山崎はるか、桐谷蝶々、渡部恵子、香里有佐
115,ジレるハートに火をつけて,3.0,×,○,種田梨沙、藤井ゆきよ、上田麗奈、稲川英里、桐谷蝶々
116,スタートリップ,4.0,○,○,愛美
117,スペードのQ,6.0,○,○,郁原ゆう、雨宮天、斉藤佑圭
118,ダイヤモンド・クラリティ,3.8076923076923075,△,○,山崎はるか、Machico、種田梨沙、藤井ゆきよ、諏訪彩花、桐谷蝶々、山口立花子、渡部恵子、香里有佐
119,デコレーション・ドリ〜ミンッ♪,6.0,○,○,渡部恵子
120,トレフル・ド・ノエル,4.5,○,○,角元明日香、野村香菜子、阿部里果
121,トワラー,5.0,×,○,戸田めぐみ、木戸衣吹、平山笑美、愛美
122,ドリームトラベラー,4.0,×,○,大関英里、原嶋あかり、田村奈央、髙橋ミナミ
123,ハルマチ女子,4.0,○,○,Machico、小笠原早紀、近藤唯
124,バトンタッチ,5.0,○,○,麻倉もも、小笠原早紀、駒形友梨、原嶋あかり、桐谷蝶々
125,ビギナーズ☆ストライク,7.0,○,○,斉藤佑圭
126,ビッグバンズバリボー!!!!!,4.0,×,○,藤井ゆきよ、駒形友梨、上田麗奈、渡部優衣、末柄里恵
127,ファンタジスタ・カーニバル,3.0,○,○,角元明日香
128,フェスタ・イルミネーション,4.0,×,○,諏訪彩花
129,フシギトラベラー,2.0,○,○,小笠原早紀、平山笑美
130,フローズン・ワード,4.0,○,○,藤井ゆきよ
131,プリティ〜〜〜ッ→ニャンニャンッ！,4.0,○,○,小笠原早紀
132,プリムラ,6.0,×,○,田所あずさ、伊藤美来、斉藤佑圭
133,マイペース☆マイウェイ,3.0,○,○,浜崎奈々
134,ミスティック・セレモニーへの招待状,8.0,○,○,Machico、小岩井ことり、木戸衣吹、平山笑美
135,メメント？モメント♪ルルルルル☆,6.0,×,○,山崎はるか、諏訪彩花、桐谷蝶々
136,ライアー・ルージュ,4.0,○,○,雨宮天
137,ラスト・アクトレス,4.0,×,○,種田梨沙、髙橋ミナミ、阿部里果、渡部恵子、南早紀
138,ランニング・ハイッ,3.0,○,○,郁原ゆう、田村奈央、渡部優衣
139,リフレインキス,5.0,×,○,種田梨沙、村川梨衣、上田麗奈、雨宮天
140,リベレイシング／アロン -LiberaSing Along-,8.0,×,○,諏訪彩花、小岩井ことり、田村奈央、髙橋ミナミ
141,ワールド・アスレチック・COOK-KING 〜勝者必食！？スポ食の秋〜,6.6,×,○,大関英里、原嶋あかり、戸田めぐみ、近藤唯
142,俠気乱舞,6.0,○,○,田村奈央、稲川英里、浜崎奈々、渡部恵子、愛美
143,初恋バタフライ,4.0,○,○,桐谷蝶々
144,創造は始まりの風を連れて,6.0,×,○,麻倉もも、中村温姫、伊藤美来、村川梨衣、小岩井ことり
145,夜に輝く星座のように,3.0,×,○,村川梨衣、渡部優衣
146,夢みがちBride,8.0,×,○,上田麗奈、渡部優衣、桐谷蝶々、阿部里果
147,待ちぼうけのLacrima,3.0,○,○,駒形友梨、平山笑美、愛美
148,微笑み日和,4.0,○,○,郁原ゆう
149,恋のLesson初級編,6.0,○,○,Machico
150,恋心マスカレード,4.0,○,○,野村香菜子
151,想い出はクリアスカイ,4.0,○,○,角元明日香、桐谷蝶々
152,成長Chu→LOVER!!,3.0,○,○,夏川椎菜、伊藤美来
153,折紙物語,1.0,○,○,南早紀
154,教えてlast note…,4.0,○,○,近藤唯
155,星屑のシンフォニア,4.8,○,○,駒形友梨、小岩井ことり、野村香菜子、斉藤佑圭
156,春風満帆スターティング,6.0,×,○,田所あずさ、浜崎奈々、斉藤佑圭
157,未来飛行,3.0,○,○,山崎はるか
158,永遠の花,6.0,×,○,髙橋ミナミ、末柄里恵、渡部恵子
159,海風とカスタネット,5.0,×,○,上田麗奈、浜崎奈々、阿部里果、近藤唯、山口立花子
160,産声とクラブ,6.0,×,○,麻倉もも、中村温姫、上田麗奈
161,真夏のダイヤ☆,4.125,×,○,種田梨沙、山口立花子
162,瞳の中のシリウス,3.75,×,○,諏訪彩花、上田麗奈、桐谷蝶々
163,矛盾の月,6.0,○,○,小岩井ことり、郁原ゆう、南早紀
164,空想文学少女,7.0,○,○,伊藤美来
165,空色♡ Birthday Card,4.230769230769231,△,○,大関英里、夏川椎菜、伊藤美来、駒形友梨、村川梨衣、小岩井ことり、木戸衣吹、浜崎奈々、平山笑美、愛美
166,紙・心・ペン・心 - SHISHINPENSHIN -,6.4,×,○,駒形友梨、村川梨衣、浜崎奈々、平山笑美
167,美！美！美！ビルドUP!!,10.0,×,○,上田麗奈
168,聖ミリオン女学園校歌,6.666666666666667,○,○,近藤唯、斉藤佑圭
169,花びらメモリーズ,8.25,○,○,大関英里、藤井ゆきよ、渡部恵子、南早紀
170,解夏傀儡,8.0,×,○,原嶋あかり、髙橋ミナミ、阿部里果、渡部恵子
171,赤い世界が消える頃,6.0,○,○,大関英里、木戸衣吹、阿部里果、近藤唯、平山笑美
172,電波感傷,5.0,○,○,南早紀、香里有佐
173,餞の鳥,4.0,×,○,田所あずさ、愛美
174,鳥籠スクリプチュア,4.0,○,○,小岩井ことり
175,（※「逆ミステリー！」楽曲）,10.0,×,○,山崎はるか、種田梨沙、伊藤美来、雨宮天、末柄里恵
176,（※「悪役？令嬢」楽曲）,6.0,×,○,田所あずさ、村川梨衣、木戸衣吹
